id,name,weight,kcal,protein,lipids,carbs
1951,Pimienta blanca en polvo,2,6,0.2,0,1.4
1952,Pimienta blanca entera,4,9,0.4,0.2,2.3
1953,Pimienta blanca molida,2,6,0.2,0,1.4
1954,Pimienta de cayena,2,6,0.2,0.3,1.1
1955,Pimienta de tabasco,2,6,0.2,0.3,1.1
1956,Pimienta gorda,4,9,0.4,0.2,2.3
1957,Pimienta molida,2,5,0.2,0.1,1.3
1958,Pimienta negra,2,5,0.2,0.1,1.3
1959,Pimienta negra en polvo,2,5,0.2,0.1,1.3
1960,Pimienta negra entera,4,9,0.4,0.2,2.3
1961,Pimienta negra molida,2,5,0.2,0.1,1.3
1962,Pimienta roja,2,6,0.2,0.3,1.1
1963,Pimienta verde,2,6,0.2,0,1.4
1964,Raíz de jengibre,2,1,0.0,0,0.3
1965,Raíz fuerte,5,3,0.1,0,0.7
1966,Raja de canela,2,6,0.1,0.1,1.8
1967,Ralladura de limón,10,5,0.2,0,1.7
1968,Ralladura de naranja,10,10,0.2,0,2.5
1969,Red Bull sugar free *,125,6,0.3,0.1,0.9
1970,Refresco de dieta,355,1,0.0,0,0.1
1971,Refresco en polvo sin azúcar,1,5,0.0,0,0.0
1972,Romero,3,11,0.2,0.5,2.0
1973,Romero deshidratado,2,7,0.1,0.3,1.3
1974,Romero picado,2,6,0.1,0.3,1.1
1975,Sal,6,0,0.0,0,0.0
1976,Sal de ajo,5,4,0.0,0,0.8
1977,Sal de apio,5,4,0.0,0,0.8
1978,Sal de potasio,5,0,0.0,0,0.0
1979,Salsa de barbecue,8,6,0.1,0.1,1.0
1980,Salsa de soya,5,3,0.4,0,0.3
1981,Salsa inglesa,8,8,1.0,0.5,3.8
1982,Salsa Tabasco,6,1,0.0,0,0.1
1983,Salsa teriyaki,5,5,0.3,0,0.8
1984,Salvia,1,3,0.1,0.1,0.6
1985,Semilla de anís,2,7,0.4,0.3,1.0
1986,Semilla de apio,2,8,0.4,0.5,0.8
1987,Semilla de cardamomo,2,6,0.2,0.1,1.4
1988,Semilla de cilantro,2,6,0.2,0.4,1.1
1989,Semilla de eneldo,2,6,0.3,0.3,1.1
1990,Semilla de mostaza,2,7,0.4,0.5,0.5
1991,Sidral de dieta,355,1,0.0,0,0.1
1992,Sidral light,355,1,0.0,0,0.1
1993,Squirt de dieta,355,1,0.0,0,0.1
1994,Squirt light,355,1,0.0,0,0.1
1995,Tomillo,2,7,0.2,0.2,1.3
1996,Vainilla,5,8,0.0,0,0.4
1997,Vainilla en trozo,3,6,0.1,0.1,2.0
1998,Vinagre,5,1,0.0,0,0.3
1999,Vinagre balsámico,5,1,0.0,0,0.3
2000,Vinagre blanco,5,1,0.0,0,0.3
2001,Vinagre de caña,5,1,0.0,0,0.3
2002,Vinagre de fruta,5,1,0.0,0,0.3
2003,Vinagre de jerez,5,1,0.0,0,0.3
2004,Vinagre de manzana,5,1,0.0,0,0.3
2005,Vinagre de sidra,5,1,0.0,0,0.3
2006,Vinagre de vino,5,1,0.0,0,0.3
2007,Vinagre de yema,5,1,0.0,0,0.3
2008,Acelga cruda,98,22,2.2,0.1,4.3
2009,Acelga picada cocida,72,19,1.9,0.1,3.9
2010,Alcachofa mediana cocida,48,25,1.4,0.2,5.7
2011,Apio cocido,113,20,0.9,0.2,4.5
2012,Apio crudo,135,22,0.9,0.2,4.0
2013,Berenjena picada cocida,74,26,0.6,0.2,6.5
2014,Berro crudo,28,17,0.6,0.0,0.4
2015,Betabel crudo,39,19,0.8,0.1,4.3
2016,Betabel crudo rallado,38,18,0.8,0.1,4.1
2017,Bledos crudos,95,27,2.4,0.3,3.8
2018,Brócoli cocido,92,26,2.7,0.4,4.6
2019,Brócoli crudo,71,19,2.1,0.3,3.7
2020,Calabacita alargada cruda,91,21,1.6,0.1,3.4
2021,Calabacita redonda cruda,79,18,1.4,0.1,2.9
2022,Calabaza de Castilla cocida,110,22,0.8,0.1,5.4
2023,Cebolla blanca rebanada,58,23,0.6,0.1,5.4
2024,Cebolla cocida,53,23,0.7,0.1,5.3
2025,Cebolla morada rebanada,58,20,0.5,0.1,4.4
2026,Cebollita de cambray sin raíz,72,23,1.3,0.1,5.3
2027,Cebollitas en salmuera,95,24,0.9,0.2,6.7
2028,Champiñón cocido entero,78,20,2.8,0.3,3.2
2029,Champiñón cocido rebanado,210,55,7.5,0.7,8.5
2030,Champiñón crudo entero,93,20,2.9,0.3,3.1
2031,Champiñón crudo rebanado,105,23,3.2,0.4,3.4
2032,Chayote cocido picado,80,19,0.5,0.4,4.1
2033,Chayote crudo,100,19,0.8,0.1,4.5
2034,Chepil crudo,41,26,2.8,0.2,3.0
2035,Chícharo cocido sin vaina,32,27,1.7,0.1,4.9
2036,Chícharo crudo con vaina,28,22,1.5,0.1,4.0
2037,Chícharo en vaina cocido,53,21,1.7,0.1,3.4
2038,Chicoria cruda,120,24,1.4,0.2,4.1
2039,Chilacas crudas,76,24,1.1,0.2,5.5
2040,Chilacayote crudo,135,19,1.6,0.3,3.6
2041,Chile chilaca,50,20,0.8,0.2,3.7
2042,Chile chipotle seco,7,25,1.0,0.5,4.2
2043,Chile costeño,54,17,0.9,0.1,3.9
2044,Chile cristalino,54,20,0.9,0.1,3.9
2045,Chile cuaresmeño,50,16,0.8,0.2,3.7
2046,Chile de árbol seco,7,21,0.9,0.4,4.3
2047,Chile habanero,67,25,1.5,0.5,3.6
2048,Chile jalapeño,78,23,1.1,0.5,4.6
2049,Chile poblano,43,20,1.1,0.3,4.4
2050,Chiles secos,7,23,0.8,0.7,4.3
2051,Cilantro picado crudo,105,24,2.2,0.5,3.9
2052,Clavito (hongo) crudo,71,28,4.3,0.4,3.8
2053,Col cocida picada,75,17,1.0,0.0,4.1
2054,Col cruda picada,84,20,1.0,0.2,4.5
2055,Col morada cruda picada,56,17,0.8,0.1,4.1
2056,Colecita de Bruselas cocida,63,23,1.6,0.3,4.5
2057,Coliflor cocida,94,21,1.7,0.4,3.9
2058,Coliflor cruda,80,20,1.6,0.1,4.2
2059,Coliflor verde cocida,68,22,2.1,0.2,4.2
2060,Coliflor verde cruda,68,21,2.0,0.2,4.2
2061,Colinabo crudo,66,22,1.1,0.1,4.1
2062,Corazón de alcachofa crudo,25,16,0.6,0.0,4.1
2063,Corazón de lechuga crudo,124,12,1.2,0.0,4.4
2064,Corazón de palmito crudo,99,27,2.4,0.6,4.5
2065,Cresón cocido,101,23,1.9,0.6,3.9
2066,Cresón limpio crudo,75,24,2.1,0.6,4.2
2067,Crucetas crudas,117,21,1.3,0.2,4.3
2068,Cuitlacoche cocido,66,20,0.8,0.1,4.1
2069,Echalot,34,25,0.9,0.0,5.8
2070,Ejotes cocidos picados,63,22,1.2,0.2,4.9
2071,Elotitos de cambray,64,26,2.1,0.0,4.3
2072,Endivia cruda,129,22,1.6,0.3,4.3
2073,Espárragos crudos,90,22,2.3,0.3,3.8
2074,Espinaca cocida,90,21,2.7,0.2,3.4
2075,Espinaca cruda picada,120,28,3.4,0.4,4.4
2076,Flor de calabaza cocida,134,20,1.4,0.2,4.4
2077,Flor de calabaza cruda picada,132,20,1.2,0.0,4.4
2078,Flor de colorín cocida,40,24,1.8,0.1,4.0
2079,Flor de colorín cruda,40,24,1.8,0.1,4.0
2080,Flor de garambullo cruda,50,19,0.4,0.1,4.1
2081,Flor de maguey cruda,60,21,0.5,0.1,4.4
2082,Flor de Yuca cruda,75,29,2.0,0.3,4.5
2083,Germen de alfalfa crudo,99,23,4.0,0.7,2.1
2084,Germen de lenteja crudo,19,20,1.7,0.1,4.3
2085,Germen de soya cocido,31,25,2.7,1.4,2.1
2086,Granos de elote crudos,21,18,0.7,0.2,4.0
2087,Hojas de chicoria crudas,130,26,1.6,0.3,4.4
2088,Hojas de cliente de león,45,24,1.2,0.3,4.1
2089,Hojas de pata ele paloma,25,20,0.8,0.4,4.2
2090,Hongo portobello crudo,81,21,2.0,0.2,4.1
2091,Hongo shiitake deshidratado,5,16,0.5,0.1,4.1
2092,Hongos crudos,95,26,3.0,0.4,4.2
2093,Huauzontle,40,24,1.8,0.3,4.8
2094,Huitlacoche cocido,66,20,0.8,0.1,4.1
2095,Ibes frescos,17,22,1.7,0.0,3.6
2096,Jícama picada,60,23,0.4,0.1,5.3
2097,Jitomate,113,20,1.0,0.2,4.4
2098,Jitomate bola,108,19,1.0,0.2,4.2
2099,Jitomate cereza,95,17,0.8,0.2,3.7
2100,Jitomate deshidratado,10,23,1.5,0.5,4.3
2101,Jitomate guaje o saladet,124,22,1.1,0.2,4.8
2102,Jitomate verde,92,21,1.1,0.2,4.7
2103,Jitomatillo (miltomate),60,21,0.9,0.1,4.3
2104,Jugo de tomate,122,21,0.9,0.1,5.1
2105,Jugo de verduras,121,23,0.8,0.1,5.5
2106,Jugo de zanahoria,59,24,0.6,0.1,5.5
2107,Lechuga,135,23,1.7,0.4,4.5
2108,Lengua de vaca,99,27,2.0,0.7,3.2
2109,Lenteja germinada cocida,19,19,1.7,0.1,4.1
2110,Malva,85,34,4.1,0.5,3.3
2111,Morillas deshidratadas,10,27,3.2,0.4,4.4
2112,Morillas frescas,94,25,3.0,0.4,4.1
2113,Nabo cocido,99,22,0.7,0.1,5.0
2114,Nopal cocido,149,22,2.0,0.1,4.9
2115,Nopal crudo,134,22,1.8,0.1,4.5
2116,Nopal crudo de cambray,100,27,1.7,0.3,2.9
2117,Papaloquelite crudo,108,24,1.9,0.3,3.1
2118,Papilla de verduras mixtas,43,19,0.5,0.0,4.1
2119,Pepinillos crudos,80,23,1.1,1.0,3.3
2120,Pepinillos dulces,15,20,0.1,0.1,5.3
2121,Pepino con cáscara rebanado,130,20,0.8,0.1,4.7
2122,Perejil crudo picado,60,22,1.8,0.5,3.8
2123,Pimiento amarillo crudo chico,64,17,0.7,0.1,4.0
2124,Pimiento cocido,68,19,0.6,0.1,4.6
2125,Pimiento fresco,60,17,0.5,0.1,3.8
2126,Pimiento rojo crudo chico,64,17,0.7,0.1,4.0
2127,Pimiento verde crudo chico,64,17,0.7,0.1,4.0
2128,Poro crudo,32,21,0.5,0.1,4.5
2129,Puré de tomate enlatado,63,24,1.0,0.1,5.6
2130,Quelite crudo,66,26,3.1,0.3,2.6
2131,Rábano crudo rebanado,131,21,0.9,0.1,4.4
2132,Romeritos crudos,72,26,2.6,0.1,3.5
2133,Salsa de chile,115,28,1.2,0.2,5.2
2134,Salsifí,23,18,0.3,0.0,4.0
2135,Semilla de guaje verde,29,28,2.5,0.2,4.0
2136,Setas cocidas,78,21,2.5,0.3,3.4
2137,Setas crudas,85,23,2.7,0.3,3.7
2138,Tomate verde,86,21,0.9,0.2,3.9
2139,Tomatitos (tamiles),65,26,2.3,0.1,4.1
2140,Verdolaga cocida,115,21,1.7,0.2,4.1
2141,Verdolaga cruda limpia,120,19,1.6,0.1,4.1
2142,Xoconostle,71,18,0.1,0.3,3.7
2143,Yemitas (hongo) crudas,120,20,3.6,1.3,4.8
2144,Yerbamora cruda,41,21,2.0,0.3,3.6
2145,Zanahoria miniatura cruda,45,16,0.3,0.1,3.7
2146,Zanahoria picada cruda,64,26,0.6,0.2,4.3
2147,Zanahoria rallada cruda,55,23,0.5,0.1,4.1
